id,Genus,name,Latitude,Longitude,mint.cm,at.warmq,p.dryq,p.wetq,p.warmq
144,Juniperus,Juniperus_ashei,32.7668,-96.778,0.591737568,0.879866362,1.197666287,0.4332017,0.395837367
145,Juniperus,Juniperus_ashei,30.9666,-95.9304,0.672725618,0.837413549,1.420855999,0.394747525,0.46648711
146,Juniperus,Juniperus_ashei,32.7983,-94.3575,0.544097543,0.774340808,1.432732582,0.503950417,0.568290472
147,Juniperus,Juniperus_ashei,36.338,-94.2578,0.26778537,0.575419068,1.299345493,0.562043667,0.693575084
148,Juniperus,Juniperus_ashei,33.9985,-94.2377,0.42976144,0.710055113,1.638611913,0.718453169,0.693575084
149,Juniperus,Juniperus_ashei,33.7002,-94.2356,0.458345503,0.722184598,1.604907513,0.596479952,0.6746521
150,Juniperus,Juniperus_ashei,35.9857,-94.2144,0.315425396,0.585122585,1.372111201,0.587164998,0.6746521
151,Juniperus,Juniperus_ashei,36.713,-93.8315,0.215381309,0.530540347,1.290472507,0.53649956,0.696699739
152,Juniperus,Juniperus_ashei,36.4,-93.74,0.277313352,0.547521472,1.372111201,0.517054677,0.677826881
153,Juniperus,Juniperus_ashei,35.2151,-93.7126,0.358301401,0.667602301,1.516381264,0.55251509,0.645693779
154,Juniperus,Juniperus_ashei,33.7313,-93.665,0.453581482,0.703990459,1.668187857,0.633184195,0.751609802
155,Juniperus,Juniperus_ashei,36.61,-93.57,0.277313352,0.564502656,1.312526703,0.490730941,0.680993259
156,Juniperus,Juniperus_ashei,36.3372,-93.542,0.26778537,0.572993159,1.346951246,0.503950417,0.668277562
157,Juniperus,Juniperus_ashei,36.6,-93.54,0.296369374,0.582696736,1.308149815,0.487407357,0.677826881
158,Juniperus,Juniperus_ashei,36.7403,-93.4652,0.234437332,0.540243864,1.290472507,0.494046539,0.693575084
159,Juniperus,Juniperus_ashei,35.9177,-93.2231,0.310661376,0.491726339,1.467663169,0.608812034,0.665077388
160,Juniperus,Juniperus_ashei,36.6548,-93.0359,0.248729348,0.588761389,1.308149815,0.45376116,0.661868811
161,Juniperus,Juniperus_ashei,35.9175,-92.7033,0.296369374,0.608168364,1.444490552,0.53327626,0.561310709
162,Juniperus,Juniperus_ashei,36.263,-92.6799,0.282077342,0.587548494,1.444490552,0.510516763,0.599190593
163,Juniperus,Juniperus_ashei,36.6509,-92.4441,0.243965343,0.563289702,1.35959959,0.44351685,0.616010666
164,Juniperus,Juniperus_ashei,36.2862,-92.3398,0.26778537,0.587548494,1.475288272,0.507237077,0.575228274
165,Juniperus,Juniperus_ashei,35.85,-92.18,0.315425396,0.57056731,1.584236741,0.624089897,0.622671902
166,Juniperus,Juniperus_ashei,35.8629,-92.1535,0.315425396,0.625149488,1.58075726,0.605738521,0.619345665
167,Juniperus,Juniperus_ashei,36.0946,-91.911,0.277313352,0.611807227,1.545413136,0.542926133,0.599190593
168,Juniperus,Juniperus_ashei,35.7441,-91.5662,0.334481388,0.687009335,1.538220048,0.605738521,0.578681946
169,Juniperus,Juniperus_ashei,36.1539,-91.4815,0.282077342,0.627575397,1.541821957,0.539716363,0.582125187
170,Juniperus,Juniperus_ashei,36.043,-91.115,0.320189387,0.688222289,1.497876525,0.584047019,0.540115237
171,Juniperus,Juniperus_barbadensis,22.386,-83.64,1.339686036,0.765850246,1.030583024,1.08769691,1.335979939
172,Juniperus,Juniperus_barbadensis,22.13,-80.34,1.358742118,0.765850306,0.675098479,1.036724448,1.257297039
173,Juniperus,Juniperus_barbadensis,22.22,-79.98,1.325394034,0.741591513,0.831582308,1.101335645,1.339801073
